ID;number;name;category;description;price;warehouse_ID
086cb7c7-7eeb-4279-872e-5bf6d8605bc4;smart-prod-P001;Organic Coffee;Beverages;Premium Arabica Coffee Beans;19.99;5f460b74-212e-4cfc-a7e8-d76fe05671aa
e63fa392-7a2e-43c5-ba11-132d65f6f203;smart-prod-P002;Gourmet Cheese;Dairy;Artisanal Cheddar Cheese;29.99;94489a11-301d-48a9-b496-20d98fa3e69c
2145e869-b16e-4060-9290-3975197e26e1;smart-prod-P003;Organic Olive Oil;Grocery;Extra Virgin Olive Oil;39.99;91d8c045-1295-49ff-8335-5a2879ae3309
7d864447-97c6-44cf-97c9-0d617074b6e8;smart-prod-P004;Luxury Chocolate;Confectionery;Belgian Dark Chocolate;14.99;1f883c4c-81f5-4a61-8d4f-8edd87bd8900
a75d0744-be10-4a00-9c5b-5c86826bfb97;smart-prod-P005;Premium Red Wine;Beverages;Aged Cabernet Sauvignon;99.99;23eb659c-1400-4cf0-b5dc-d31b36f90302
12edc7d6-c753-4a6a-9c16-6e8cff18d04f;smart-prod-P006;Organic Honey;Grocery;Raw and Unfiltered Honey;9.99;01af873b-a671-439d-ac34-ee75bfb007d6
d65303ed-b41f-4f8b-9a4e-1ede095511da;smart-prod-P007;Artisanal Bread;Grocery;Freshly Baked Sourdough Bread;4.99;48693db8-bfbf-471d-9bd6-fb6db0e5d4a9
1185129a-b72d-4b40-b3e9-84389464f91a;smart-prod-P008;Gourmet Cookies;Confectionery;Handmade Chocolate Chip Cookies;7.99;bdc36e7f-d583-4df5-bb0d-ef377d2afbdc
b3aceb67-c3f2-4601-a72f-aff97600dac6;smart-prod-P009;Organic Tea;Beverages;Green Tea with Jasmine;14.99;622f2d5b-a8b2-4cb4-b5f3-c285feaf3691
f5b3d1f0-9849-4c2b-a7a2-604e69d51f09;smart-prod-P010;Gourmet Jam;Grocery;Strawberry and Rhubarb Jam;6.99;5ef1d298-a751-4333-9532-1cae49e6cc44
291e170c-b022-451b-a8ed-e231fdd94ad6;smart-prod-P011;Luxury Truffles;Confectionery;Swiss Chocolate Truffles;24.99;5f460b74-212e-4cfc-a7e8-d76fe05671aa
f42db249-cf36-4e96-9fb1-cc4fd027b465;smart-prod-P012;Premium White Wine;Beverages;French Chardonnay;89.99;94489a11-301d-48a9-b496-20d98fa3e69c
dd2fc345-17b5-48bd-b42d-ca3ae655653b;smart-prod-P013;Gourmet Pasta;Grocery;Italian Durum Wheat Pasta;14.99;91d8c045-1295-49ff-8335-5a2879ae3309
71417957-626c-4e64-9e5d-db15edda9737;smart-prod-P014;Artisanal Ice Cream;Dairy;Vanilla Bean Ice Cream;19.99;01af873b-a671-439d-ac34-ee75bfb007d6
0e0b4832-c0a7-4586-afe8-532bced7eb3f;smart-prod-P015;Gourmet Crackers;Grocery;Whole Grain Crackers;6.99;bdc36e7f-d583-4df5-bb0d-ef377d2afbdc